140.110.143.196,04:33:13.267,2016-06-27,2016-06-27,12:33:13.267,62,200,GET,-,-,180.217.146.243,2016-06-27,04:33:13.204,2016-06-27,04:33:13.267,-,ASP.NET_SessionId=xrr12d3v1hy4ciqrxw2ifvvp; clientSideSession=1466936932244HxqVJN; os=Mac; _ga=GA1.3.772688314.1463413625; _gat=1
140.110.143.196,04:33:13.329,2016-06-27,2016-06-27,12:33:13.329,15,200,HEAD,-,-,180.217.146.243,2016-06-27,04:33:13.314,2016-06-27,04:33:13.329,-,ASP.NET_SessionId=xrr12d3v1hy4ciqrxw2ifvvp; clientSideSession=1466936932244HxqVJN; os=Mac; _ga=GA1.3.772688314.1463413625; _gat=1
140.110.143.196,04:33:13.376,2016-06-27,2016-06-27,12:33:13.376,109,200,GET,-,-,180.217.146.243,2016-06-27,04:33:13.267,2016-06-27,04:33:13.376,-,ASP.NET_SessionId=xrr12d3v1hy4ciqrxw2ifvvp; clientSideSession=1466936932244HxqVJN; os=Mac; _ga=GA1.3.772688314.1463413625; _gat=1
140.110.143.196,04:33:14.298,2016-06-27,2016-06-27,12:33:14.298,609,200,GET,-,-,180.217.146.243,2016-06-27,04:33:13.689,2016-06-27,04:33:14.298,-,ASP.NET_SessionId=xrr12d3v1hy4ciqrxw2ifvvp; clientSideSession=1466936932244HxqVJN; os=Mac; _gat=1; _ga=GA1.3.772688314.1463413625
140.110.143.196,04:33:14.548,2016-06-27,2016-06-27,12:33:14.548,249,200,GET,-,-,180.217.146.243,2016-06-27,04:33:14.298,2016-06-27,04:33:14.548,-,ASP.NET_SessionId=xrr12d3v1hy4ciqrxw2ifvvp; clientSideSession=1466936932244HxqVJN; os=Mac; _gat=1; _ga=GA1.3.772688314.1463413625
140.110.143.196,04:45:02.044,2016-06-27,2016-06-27,12:45:02.044,277967,200,GET,-,-,180.217.146.243,2016-06-27,04:33:14.579,2016-06-27,04:45:02.044,-,ASP.NET_SessionId=xrr12d3v1hy4ciqrxw2ifvvp; clientSideSession=1466936932244HxqVJN; os=Mac; _gat=1; _ga=GA1.3.772688314.1463413625
140.110.143.196,04:45:02.153,2016-06-27,2016-06-27,12:45:02.153,93,200,GET,-,-,180.217.146.243,2016-06-27,04:45:02.060,2016-06-27,04:45:02.153,-,ASP.NET_SessionId=xrr12d3v1hy4ciqrxw2ifvvp; clientSideSession=1466936932244HxqVJN; os=Mac; _gat=1; _ga=GA1.3.772688314.1463413625
140.110.143.196,04:57:53.358,2016-06-27,2016-06-27,12:57:53.358,375,200,GET,-,-,68.180.229.37,2016-06-27,04:57:52.983,2016-06-27,04:57:53.358,-,-
140.110.143.196,04:58:26.376,2016-06-27,2016-06-27,12:58:26.376,31,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.345,2016-06-27,04:58:26.376,-,-
140.110.143.196,04:58:26.376,2016-06-27,2016-06-27,12:58:26.376,31,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.345,2016-06-27,04:58:26.376,-,-
140.110.143.196,04:58:26.376,2016-06-27,2016-06-27,12:58:26.376,31,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.345,2016-06-27,04:58:26.376,-,-
140.110.143.196,04:58:26.407,2016-06-27,2016-06-27,12:58:26.407,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.392,2016-06-27,04:58:26.407,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.407,2016-06-27,2016-06-27,12:58:26.407,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.392,2016-06-27,04:58:26.407,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.407,2016-06-27,2016-06-27,12:58:26.407,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.392,2016-06-27,04:58:26.407,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.407,2016-06-27,2016-06-27,12:58:26.407,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.392,2016-06-27,04:58:26.407,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.407,2016-06-27,2016-06-27,12:58:26.407,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.392,2016-06-27,04:58:26.407,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.407,2016-06-27,2016-06-27,12:58:26.407,0,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.407,2016-06-27,04:58:26.407,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.423,2016-06-27,2016-06-27,12:58:26.423,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.407,2016-06-27,04:58:26.423,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.423,2016-06-27,2016-06-27,12:58:26.423,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.407,2016-06-27,04:58:26.423,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.423,2016-06-27,2016-06-27,12:58:26.423,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.407,2016-06-27,04:58:26.423,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.423,2016-06-27,2016-06-27,12:58:26.423,31,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.392,2016-06-27,04:58:26.423,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.501,2016-06-27,2016-06-27,12:58:26.501,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.486,2016-06-27,04:58:26.501,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.642,2016-06-27,2016-06-27,12:58:26.642,0,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.642,2016-06-27,04:58:26.642,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.642,2016-06-27,2016-06-27,12:58:26.642,0,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.642,2016-06-27,04:58:26.642,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.642,2016-06-27,2016-06-27,12:58:26.642,0,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.642,2016-06-27,04:58:26.642,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.673,2016-06-27,2016-06-27,12:58:26.673,15,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.657,2016-06-27,04:58:26.673,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
140.110.143.196,04:58:26.736,2016-06-27,2016-06-27,12:58:26.736,46,200,GET,-,-,140.119.17.161,2016-06-27,04:58:26.689,2016-06-27,04:58:26.736,-,ASP.NET_SessionId=dc4hxoyau41w0syq0fx1wsls; os=Windows
